team,season,state,next_state,count,adjustment_type,poss_per_game
ATL,2024-25,OPP DREB,OPP Offense Start,3115.0,2PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL Offense Start,3037.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL DREB,2453.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP DREB,2357.91,2PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP Offense Start,2329.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL Offense Start,2263.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL 2pt Made,2176.36,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP 2pt Made,2061.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL Offense Start,1270.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Turnover,OPP Offense Start,1240.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP Turnover,1166.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL Offense Start,1160.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL Turnover,1127.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,OPP Offense Start,1095.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP 3pt Made,1060.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL 3pt Made,1003.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL OREB,887.73,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL Offense Start,824.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP OREB,810.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP Offense Start,792.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL FT Made,698.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP FT Made,698.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL FT Made,540.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP FT Made,533.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL 2pt Made,339.09,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP DREB,277.64,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP 2pt Made,286.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL DREB,238.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP DREB,206.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL DREB,167.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL OREB,126.27,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP OREB,115.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP DREB,112.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL Turnover,107.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL DREB,103.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP FT Made,95.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP Turnover,94.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP 3pt Made,93.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL 3pt Made,87.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,ATL FT Made,85.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP FT Made,84.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL FT Made,76.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP FT Made,71.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL FT Made,63.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,ATL DREB,30.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL DREB,29.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP DREB,27.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP DREB,25.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL 2pt Made,19.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP 2pt Made,18.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,ATL 2pt Made,12.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP 2pt Made,9.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP Turnover,8.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL 2pt Made,8.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL 3pt Made,8.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL OREB,7.0,2PT FG% +5%,98.8
ATL,2024-25,ATL 3pt Made,ATL FT Made,6.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP 3pt Made,6.0,2PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP OREB,6.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP 2pt Made,6.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP DREB,6.0,2PT FG% +5%,98.8
ATL,2024-25,ATL OREB,OPP 3pt Made,5.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP OREB,5.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL OREB,5.0,2PT FG% +5%,98.8
ATL,2024-25,ATL FT Made,OPP 2pt Made,4.0,2PT FG% +5%,98.8
